City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Dehloran,IR,32.6941,47.2679,96.87,11,10,8.43,clear sky
79,Longyearbyen,SJ,78.2186,15.6401,33.64,69,0,9.22,clear sky
80,Gunjur,GM,13.2019,-16.7339,91.47,46,0,11.5,clear sky
81,Isangel,VU,-19.55,169.2667,77.05,88,91,14.63,moderate rain
82,Provideniya,RU,64.3833,-173.3,39.6,77,45,8.39,scattered clouds
83,Nikolskoye,RU,59.7035,30.7861,52.88,46,90,7.34,overcast clouds
84,Leo,BF,11.1,-2.1,98.49,25,95,2.01,overcast clouds
85,Ponta Do Sol,PT,32.6667,-17.1,72.01,97,40,2.53,scattered clouds
86,Awjilah,LY,29.1081,21.2869,81.63,14,0,17.07,clear sky
87,Gat,IL,31.61,34.7642,89.4,34,1,15.77,clear sky
88,Salalah,OM,17.0151,54.0924,81.72,80,32,3.53,scattered clouds
89,Tuatapere,NZ,-46.1333,167.6833,47.88,78,100,19.51,light rain
90,Port Elizabeth,ZA,-33.918,25.5701,57.49,96,100,8.05,overcast clouds
91,Oneida,US,43.2001,-75.4663,78.76,65,84,1.99,broken clouds
92,Kedrovka,RU,55.5333,86.05,63.48,48,70,9.57,broken clouds
93,Bundaberg,AU,-24.85,152.35,62.89,99,75,10.36,light rain
94,Zhanaozen,KZ,43.3,52.8,59.47,54,100,22.59,overcast clouds
95,Saskylakh,RU,71.9167,114.0833,20.28,96,66,1.39,broken clouds
96,Vaini,TO,-21.2,-175.2,73.56,88,40,4.61,scattered clouds
97,Laguna,US,38.421,-121.4238,64.44,29,0,19.57,clear sky
98,Kungurtug,RU,50.5994,97.5228,54.66,76,99,3.58,overcast clouds
99,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,75.97,19,2,6.55,clear sky
100,Boysun,UZ,38.2061,67.1986,69.35,46,45,1.41,scattered clouds
101,Vardo,NO,70.3705,31.1107,37.38,75,75,19.57,broken clouds
102,Srednekolymsk,RU,67.45,153.6833,47.84,64,97,3.38,overcast clouds
103,Winslow,US,35.0242,-110.6974,69.98,23,0,25.32,clear sky
104,Toguchin,RU,55.2353,84.3858,59.86,43,98,7.52,overcast clouds
105,Riviere-Au-Renard,CA,48.9957,-64.3971,64.69,58,32,6.29,scattered clouds
106,Kapaa,US,22.0752,-159.319,71.11,97,83,1.01,light rain
107,Palu,ID,-0.8917,119.8707,76.53,96,89,2.39,overcast clouds
108,Katsuura,JP,35.1333,140.3,66.79,78,100,14.29,overcast clouds
109,Port Lincoln,AU,-34.7333,135.8667,58.01,61,10,14.36,clear sky
110,Sika,GM,13.3546,-16.345,91.54,30,38,13.42,scattered clouds
111,Bredasdorp,ZA,-34.5322,20.0403,55.85,66,70,4.38,broken clouds
112,Celestun,MX,20.8667,-90.4,89.69,54,70,7.87,broken clouds
113,Grand Gaube,MU,-20.0064,57.6608,76.37,69,6,5.99,clear sky
114,Xuchang,CN,34.0167,113.8167,65.77,68,33,6.85,scattered clouds
115,Trelew,AR,-43.249,-65.3051,68.59,35,72,26.19,broken clouds
116,Paidha,UG,2.4167,30.9855,71.06,62,97,4.97,overcast clouds
117,Sabang,ID,5.8933,95.3214,84.04,74,100,13.67,overcast clouds
118,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,100,7.49,light rain
119,Bengkulu,ID,-3.8004,102.2655,76.98,85,19,3.33,few clouds
120,Karlstad,SE,59.3793,13.5036,54.16,82,100,8.05,overcast clouds
121,Bawku,GH,11.0616,-0.2417,99.37,27,63,6.22,broken clouds
122,Vostok,RU,46.4856,135.8833,47.44,75,59,6.11,broken clouds
123,Hithadhoo,MV,-0.6,73.0833,83.52,72,98,10.25,overcast clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,80.56,97,61,5.99,broken clouds
125,Vilhena,BR,-12.7406,-60.1458,70.02,40,0,6.91,clear sky
126,Faanui,PF,-16.4833,-151.75,80.22,71,11,12.33,few clouds
127,Caravelas,BR,-17.7125,-39.2481,76.17,43,27,6.2,scattered clouds
128,Ust-Nera,RU,64.5667,143.2,32.86,98,99,4.85,overcast clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,62.94,57,0,13.8,clear sky
130,Tasiilaq,GL,65.6145,-37.6368,38.21,78,79,2.91,broken clouds
131,Torbay,CA,47.6666,-52.7314,58.87,62,40,11.5,scattered clouds
132,Anzio,IT,41.4853,12.6179,83.01,36,32,11.83,scattered clouds
133,Acarau,BR,-2.8856,-40.12,84.11,71,98,7.11,overcast clouds
134,Constitucion,CL,-35.3333,-72.4167,57.97,73,24,4.16,few clouds
135,Perth,AU,-31.9333,115.8333,62.67,93,0,3.44,clear sky
136,Vogan,TG,6.3333,1.5333,87.62,75,100,10.33,light rain
137,Great Yarmouth,GB,52.6083,1.7305,61.41,75,77,14.16,broken clouds
138,Serebryanyy Bor,RU,56.8,124.8,36.73,98,100,5.19,overcast clouds
139,Iracoubo,GF,5.4802,-53.2011,78.12,88,99,6.76,overcast clouds
140,Khani,GE,41.9563,42.9566,44.17,95,89,3.31,overcast clouds
141,Port Blair,IN,11.6667,92.75,84.24,79,100,11.5,mist
142,Xacmaz,AZ,41.4635,48.806,51.8,87,100,11.99,moderate rain
143,Guerrero Negro,MX,27.9769,-114.0611,64.17,68,60,5.01,broken clouds
144,Vanimo,PG,-2.6741,141.3028,78.26,87,98,1.45,overcast clouds
145,Varkaus,FI,62.3153,27.873,52.3,40,100,4.5,overcast clouds
146,Carutapera,BR,-1.195,-46.02,77.61,94,98,6.2,overcast clouds
147,Yurty,RU,56.0498,97.6348,53.64,81,99,4.83,overcast clouds
148,Yermekeyevo,RU,54.0761,53.6712,45.45,93,100,2.73,overcast clouds
149,Smirnykh,RU,49.75,142.8333,38.89,95,99,5.64,overcast clouds
150,Rongcheng,CN,30.634,117.8517,59.79,92,68,2.44,broken clouds
151,Cherskiy,RU,68.75,161.3,43.93,70,1,10.71,clear sky
152,Neyshabur,IR,36.2133,58.7958,77.52,19,0,8.52,clear sky
153,Norrtalje,SE,59.758,18.705,53.78,69,77,8.68,broken clouds
154,Pevek,RU,69.7008,170.3133,33.76,97,100,6.26,overcast clouds
155,Cockburn Town,TC,21.4612,-71.1419,80.56,83,100,16.64,overcast clouds
156,Dekernes,EG,31.0876,31.595,78.24,43,0,11.1,clear sky
157,Banda Aceh,ID,5.5577,95.3222,80.92,80,100,8.86,overcast clouds
158,Biak,ID,-0.9131,122.8766,76.93,83,86,6.8,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,80.38,81,46,6.64,scattered clouds
160,Ojinaga,MX,29.5667,-104.4167,88.57,17,0,9.22,clear sky
161,Lillehammer,NO,61.1146,10.4674,57.16,65,82,9.06,broken clouds
162,San Policarpo,PH,12.1791,125.5072,81.5,82,100,9.64,overcast clouds
163,Ancud,CL,-41.8697,-73.8203,51.67,88,100,22.44,light rain
164,Denpasar,ID,-8.65,115.2167,82.06,83,40,1.14,scattered clouds
165,Bethel,US,41.3712,-73.414,75.18,56,60,9.44,broken clouds
166,Cap-Aux-Meules,CA,47.3821,-61.8597,60.82,27,20,8.05,few clouds
167,Tahe,CN,52.3333,124.7333,43.23,84,14,3.27,few clouds
168,Vestmannaeyjar,IS,63.4427,-20.2734,49.82,84,100,9.15,overcast clouds
