City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
72,Albert,FR,56.57,overcast clouds,50.0009,2.6510000000000002,Hotel de la Basilique
73,Prince Rupert,CA,53.29,overcast clouds,54.3161,-130.3201,Crest Hotel
74,Butaritari,KI,82.09,clear sky,3.0707,172.7902,Isles Sunset Lodge
75,Coruripe,BR,77.27,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
76,Nome,US,56.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
77,Lebu,CL,55.65,moderate rain,-37.6167,-73.65,Hostal Las Lilas
78,Puerto Escondido,MX,82.15,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
79,Namibe,AO,66.69,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
80,Neustadt,DE,60.13,mist,49.7117,12.0872,Ferienwohnung Weiden - Max Wiesent
81,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
82,Srednekolymsk,RU,57.18,scattered clouds,67.45,153.6833,
83,Silikatnyy,RU,39.88,broken clouds,53.9896,48.3275,Dostupnyy Dom
84,Lima,PE,66.9,clear sky,-12.0432,-77.0282,Hotel Kamana
85,Nicoya,CR,77.23,overcast clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
86,Guanare,VE,75.22,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
87,Hithadhoo,MV,82.94,few clouds,-0.6,73.0833,Scoop Guest House
88,Bauchi,NG,79.86,overcast clouds,10.5,10.0,
89,Port Hawkesbury,CA,46.62,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
90,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
91,Arraial Do Cabo,BR,68.81,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
92,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
93,Asau,RO,49.95,few clouds,46.4333,26.4,Casa Mika Ciobanus
94,Lobva,RU,39.83,scattered clouds,59.1854,60.5185,
96,Khatanga,RU,30.96,overcast clouds,71.9667,102.5,"""Khatanga"""
97,Hernani,ES,64.81,overcast clouds,43.2662,-1.9762,Ibiltze
98,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Karratha,AU,80.2,clear sky,-20.7377,116.8463,ibis Styles Karratha
100,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
101,Roald,NO,50.76,broken clouds,62.5833,6.1333,Flem Cabins
102,Severo-Kurilsk,RU,44.51,overcast clouds,50.6789,156.125,Kak Doma
103,Koumac,NC,81.68,few clouds,-20.5667,164.2833,Le Monitel
104,Sheffield,GB,53.91,overcast clouds,53.383,-1.4659,Hotel Novotel Sheffield Centre
105,Nizhniy Tsasuchey,RU,73.44,clear sky,50.5167,115.1333,
106,Prado,BR,62.06,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
107,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Ukiah,US,71.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
109,Mamallapuram,IN,83.05,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
110,Ilulissat,GL,32.02,clear sky,69.2167,-51.1,Hotel Arctic
111,Hobart,AU,55.06,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
112,Tura,IN,74.97,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
113,Havre-Saint-Pierre,CA,41.36,clear sky,50.2334,-63.5986,Auberge Niapiskau
114,Nemuro,JP,48.69,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
115,Iqaluit,CA,28.13,light snow,63.7506,-68.5145,Frobisher Inn
116,Tiksi,RU,30.96,overcast clouds,71.6872,128.8694,Arktika
117,Kurumkan,RU,69.12,scattered clouds,54.3,110.3,Ilikchin
118,Palembang,ID,78.89,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
119,Qaanaaq,GL,15.42,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
120,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
121,Sitka,US,55.29,clear sky,57.0531,-135.33,Westmark Sitka
122,Airai,TL,73.2,clear sky,-8.9266,125.4092,
123,Fortuna,US,55.85,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
124,Camana,PE,65.64,scattered clouds,-16.6228,-72.7111,Hostal Morales
125,Ylojarvi,FI,40.95,clear sky,61.5563,23.5961,Hotel Lamminpää
126,Tecoanapa,MX,81.07,clear sky,16.5167,-98.75,Hotel Manglares
127,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
128,Mount Gambier,AU,57.92,clear sky,-37.8333,140.7667,The Commodore
129,Acapulco,MX,80.01,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
130,Biak,ID,82.98,broken clouds,-0.9131,122.8766,Penginapan Kim
131,Grammichele,IT,58.46,clear sky,37.2123,14.6397,Valle Verde Di Paolo E Maria Teresa Filia Snc
132,Lompoc,US,68.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Korla,CN,79.03,overcast clouds,41.7597,86.1469,Gulisitan Hotel
134,Kaitangata,NZ,42.01,light rain,-46.2817,169.8464,Kaitangata Motor Camp
135,Tromso,NO,35.38,overcast clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
136,Avarua,CK,77.83,light rain,-21.2078,-159.775,Paradise Inn
137,Carnarvon,AU,72.12,few clouds,-24.8667,113.6333,Hospitality Carnarvon
138,Lantawan,PH,85.69,few clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
139,Patterson,US,89.35,overcast clouds,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
140,Ontario,US,80.4,few clouds,34.0633,-117.6509,Capri Motel
141,San Patricio,US,81.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Bonavista,CA,41.58,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
143,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
144,Athabasca,CA,52.21,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
145,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Vista Roof Restaurant
146,Atherton,GB,53.42,overcast clouds,53.5237,-2.4935,The Mercury Motel
147,Samarai,PG,82.89,few clouds,-10.6167,150.6667,Nuli Sapi
148,Faanui,PF,80.96,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
149,Sanarate,GT,75.51,overcast clouds,14.795,-90.1922,Parqueo Travesía Sanarate-Rancho
150,Kavieng,PG,83.52,light rain,-2.5744,150.7967,Nusa Island Retreat
151,Trairi,BR,75.63,few clouds,-3.2778,-39.2689,janelas do mar
152,Thompson,CA,35.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
153,Margate,GB,54.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
154,Raudeberg,NO,47.07,overcast clouds,61.9875,5.1352,Nordre Silda.
155,Khanpur,PK,92.62,clear sky,28.6453,70.6567,Ahmad Bartan store
156,Burnie,AU,53.98,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
157,Kasongo-Lunda,CD,71.08,broken clouds,-6.4667,16.8167,
158,Hami,CN,84.83,clear sky,42.8,93.45,Laoyutang Resort
159,Mapiripan,CO,69.62,overcast clouds,2.8892,-72.1256,Monserrate
160,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
161,Hofn,IS,47.43,overcast clouds,64.2539,-15.2082,Hótel Höfn
162,Ceres,US,89.37,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
163,Inhambane,MZ,68.86,clear sky,-23.865,35.3833,Oceano
164,Portland,US,57.63,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
165,Kidal,ML,86.0,scattered clouds,18.4411,1.4078,
166,Mataura,NZ,42.48,moderate rain,-46.1927,168.8643,Ellie's Villa
167,Okhotsk,RU,34.39,light snow,59.3833,143.3,
168,Rio Gallegos,AR,42.85,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
169,Longyearbyen,SJ,28.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
170,Green River,US,44.19,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
171,Muros,ES,57.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
172,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
173,Mitsamiouli,KM,78.4,overcast clouds,-11.3847,43.2844,Foyer ADM
174,Codrington,AU,58.21,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
175,Majene,ID,84.65,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
176,Kavaratti,IN,82.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
177,Nouadhibou,MR,66.18,scattered clouds,20.930999999999997,-17.0347,El Medina
178,Iralaya,HN,79.12,overcast clouds,15.0,-83.2333,Iglesia morava renovada
179,Baykit,RU,59.32,overcast clouds,61.67,96.37,
180,Tarbert,GB,49.5,overcast clouds,55.8628,-5.4162,Knap Guest House
181,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
182,Port Elizabeth,ZA,55.69,light rain,-33.918,25.5701,39 On Nile Guest House
